ctg_name,ctg_ranking,date,datetime,hotel_address,hotel_name,hotel_url,rate_of_en,rate_of_ja,rate_of_zhCN,review_qty,review_qty_en,review_qty_ja,review_qty_zhCN,review_stars
大阪市のその他の宿泊施設346軒中,6位,2018-06-08,2018-06-08 02:35:10,中央区東心斎橋1-12-20,The Dorm Hostel Osaka,https://www.tripadvisor.jp/Hotel_Review-g298566-d11872868-Reviews-The_Dorm_Hostel_Osaka-Osaka_Osaka_Prefecture_Kinki.html,,,,(101),(45),(25),(20), 4.5 
大阪市のホテル/旅館381軒中,28位,2018-06-08,2018-06-08 02:35:10,中央区高麗橋2-2-14,ダイワロイネットホテル大阪北浜,https://www.tripadvisor.jp/Hotel_Review-g298566-d4071371-Reviews-Daiwa_Roynet_Hotel_Osaka_Kitahama-Osaka_Osaka_Prefecture_Kinki.html,,,,(550),(201),(220),(107), 4.0 
大阪市のホテル/旅館381軒中,4位,2018-06-08,2018-06-08 02:35:10,北区中之島3-2-4,コンラッド大阪,https://www.tripadvisor.jp/Hotel_Review-g298566-d12279129-Reviews-Conrad_Osaka-Osaka_Osaka_Prefecture_Kinki.html,,,,(293),(111),(139),(31), 4.5 
大阪市のホテル/旅館381軒中,31位,2018-06-08,2018-06-08 02:35:10,中央区日本橋1-4-18,天然温泉花風の湯御宿野乃なんば,https://www.tripadvisor.jp/Hotel_Review-g298566-d11621499-Reviews-Onyado_Nono_Nanba-Osaka_Osaka_Prefecture_Kinki.html,,,,(115),(39),(12),(48), 4.5 
大阪市のホテル/旅館381軒中,25位,2018-06-08,2018-06-08 02:35:10,住之江区南港北1-13-11,ハイアットリージェンシー大阪,https://www.tripadvisor.jp/Hotel_Review-g298566-d307633-Reviews-Hyatt_Regency_Osaka-Osaka_Osaka_Prefecture_Kinki.html,,,,"(1,346)",(558),(628),(126), 4.0 
大阪市のホテル/旅館381軒中,1位,2018-06-08,2018-06-08 02:35:10,北区大深町3-60,インターコンチネンタルホテル大阪,https://www.tripadvisor.jp/Hotel_Review-g298566-d4041964-Reviews-Intercontinental_Hotel_Osaka-Osaka_Osaka_Prefecture_Kinki.html,,,,"(1,575)",(850),(459),(187), 4.5 
大阪市のホテル/旅館381軒中,41位,2018-06-08,2018-06-08 02:35:10,中央区千日前2-8-17,なんばオリエンタルホテル,https://www.tripadvisor.jp/Hotel_Review-g298566-d310279-Reviews-Namba_Oriental_Hotel-Osaka_Osaka_Prefecture_Kinki.html,,,,(704),(372),(148),(166), 4.0 
大阪市のホテル/旅館381軒中,44位,2018-06-08,2018-06-08 02:35:10,北区中之島5-3-68,リーガロイヤルホテル（大阪）,https://www.tripadvisor.jp/Hotel_Review-g298566-d302408-Reviews-RIHGA_Royal_Hotel_Osaka-Osaka_Osaka_Prefecture_Kinki.html,,,,"(1,821)",(260),"(1,385)",(127), 4.0 
大阪市のホテル/旅館381軒中,7位,2018-06-08,2018-06-08 02:35:11,北区天満橋1-8-50,帝国ホテル大阪,https://www.tripadvisor.jp/Hotel_Review-g298566-d302431-Reviews-Imperial_Hotel_Osaka-Osaka_Osaka_Prefecture_Kinki.html,,,,"(1,085)",(253),(670),(107), 4.5 
大阪市のホテル/旅館381軒中,32位,2018-06-08,2018-06-08 02:35:11,中央区城見2-2-22,ホテルモントレ ラ・スール大阪,https://www.tripadvisor.jp/Hotel_Review-g298566-d598268-Reviews-Hotel_Monterey_Lasoeur_Osaka-Osaka_Osaka_Prefecture_Kinki.html,,,,(945),(231),(611),(89), 4.0 
大阪市のホテル/旅館381軒中,5位,2018-06-08,2018-06-08 02:35:11,北区梅田2-5-25,ザ・リッツ・カールトン 大阪,https://www.tripadvisor.jp/Hotel_Review-g298566-d302242-Reviews-The_Ritz_Carlton_Osaka-Osaka_Osaka_Prefecture_Kinki.html,,,,"(2,046)",(772),"(1,127)",(198), 4.5 
